Order Number,Tracking Number,Charge,Carrier Fee,Invoice Difference(ups-ss),Invoice Match
01-10716-69896,1ZF0J3790314543699,12.24,12.24,0.0,Yes
02-10706-19444,1ZF0J3790321921507,26.87,26.87,0.0,Yes
02-10714-78471,1ZF0J3790330612913,11.4,11.4,0.0,Yes
04-10724-94137,1ZF0J3790323285111,11.42,11.42,0.0,Yes
05-10671-41333,1ZF0J3790328986391,2.1,13.39,-11.29,No
05-10714-58003,1ZF0J3790308647866,11.4,11.39,0.01,No
09-10707-25998,1ZF0J3790324244869,14.65,14.65,0.0,Yes
09-10710-11557,1ZF0J3790336033734,9.3,9.3,0.0,Yes
09-10710-13055,1ZF0J3790335156925,11.39,11.39,0.0,Yes
10-10712-46817,1ZF0J3790323387396,13.81,13.81,0.0,Yes
11-10696-60146,1ZF0J3790309729301,11.39,11.39,0.0,Yes
11-10702-01200,1ZF0J3790323700779,68.18,68.18,0.0,Yes
11-10725-38368,1ZF0J3790323893419,9.32,9.32,0.0,Yes
111-0033740-1641072,1ZF0J3790312348841,15.61,15.61,0.0,Yes
111-3493586-7903424,1ZF0J3790335553657,11.08,11.08,0.0,Yes
111-3496323-9405846,1ZF0J3790316323799,13.66,13.66,0.0,Yes
111-5459392-5511408,1ZF0J3790300182873,14.73,14.73,0.0,Yes
112-0201043-9647437,1ZF0J3790327067448,15.76,15.76,0.0,Yes
112-3299953-5789044,1ZF0J3790339509019,41.8,41.8,0.0,Yes
112-4115266-9290621,1ZF0J3790334337688,60.69,60.69,0.0,Yes
112-4463747-5854639,1ZF0J3790320673902,36.58,36.58,0.0,Yes
112-4770242-6149069,1ZF0J3790338037067,11.39,11.39,0.0,Yes
112-5320515-5699431,1ZF0J3790332596812,13.6,13.6,0.0,Yes
112-6907938-4327458,1ZF0J3790315600633,12.98,12.98,0.0,Yes
112-6923369-2271420,1ZF0J3790337684879,13.2,13.2,0.0,Yes
112-7683870-8649049,1ZF0J3790312329488,9.3,9.3,0.0,Yes
112-8144761-3111428,1ZF0J3790335156569,22.8,22.8,0.0,Yes
113-0852748-8991466,1ZF0J3790313872353,9.3,9.3,0.0,Yes
113-2288377-2698623,1ZF0J3790325345552,10.98,10.99,-0.01,No
113-2916024-8348235,1ZF0J3790302786815,16.9,16.9,0.0,Yes
113-3604247-9129833,1ZF0J3790300961281,33.1,33.1,0.0,Yes
113-3865329-9089007,1ZF0J3790333410288,11.42,11.42,0.0,Yes
113-6490099-2968225,1ZF0J3790336450355,11.42,11.42,0.0,Yes
113-8490331-3898611,1ZF0J3790304788640,20.04,20.04,0.0,Yes
113-9515857-0505027,1ZF0J3790328666941,11.77,11.77,0.0,Yes
113-9778468-1539467,1ZF0J3790332769537,13.81,13.81,0.0,Yes
114-1763588-5146653,1ZF0J3790333409852,11.35,11.35,0.0,Yes
114-2067877-1738610,1ZF0J3790338587893,39.24,39.24,0.0,Yes
114-2709356-4949818,1ZF0J3790305241504,31.86,31.86,0.0,Yes
114-5533990-8765861,1ZF0J3790308151927,12.95,12.95,0.0,Yes
114-8033738-6845865,1ZF0J3790330241752,70.36,70.36,0.0,Yes
1193,1ZF0J3790322626585,0.0,0.0,0.0,Yes
12-10709-47591,1ZF0J3790319628455,9.3,9.3,0.0,Yes
15-10682-94871,1ZF0J3790324340522,23.96,23.96,0.0,Yes
15-10709-72455,1ZF0J3790339265809,15.48,15.48,0.0,Yes
153469,1ZF0J3790304668949,46.6,46.6,0.0,Yes
153472,1ZF0J3790317056228,119.32,119.32,0.0,Yes
16-10699-15481,1ZF0J3790327668763,15.48,15.48,0.0,Yes
18-10699-64100,1ZF0J3790305815760,11.4,11.4,0.0,Yes
20-10710-30249,1ZF0J3790324987549,11.42,11.42,0.0,Yes
22-10688-97108,1ZF0J3790306668445,43.42,43.42,0.0,Yes
22-10721-80660,1ZF0J3790339227841,13.15,13.15,0.0,Yes
23-10699-15838,1ZF0J3790316505404,12.68,12.68,0.0,Yes
23-10708-40406,1ZF0J3790326562002,29.34,29.34,0.0,Yes
24-10727-18716,1ZF0J3790319571015,11.42,11.42,0.0,Yes
27-10709-56498,1ZF0J3790336641881,17.17,17.17,0.0,Yes
418080883,1ZF0J3790339227341,18.05,18.05,0.0,Yes
4465,1ZF0J3790337787142,28.56,28.56,0.0,Yes
4466,1ZF0J3790312114772,26.55,26.55,0.0,Yes
4467,1ZF0J3790305265382,25.57,25.57,0.0,Yes
4468,1ZF0J3790336532829,9.68,9.68,0.0,Yes
4470,1ZF0J3790319952434,24.03,24.03,0.0,Yes
4472,1ZF0J3790300992060,50.24,50.24,0.0,Yes
4473,1ZF0J3790314463892,17.17,17.17,0.0,Yes
4475,1ZF0J3790325941210,144.65,158.8,-14.15,No
4477,1ZF0J3790325493071,14.74,14.73,0.01,No
4480,1ZF0J3790322453324,151.2,151.2,0.0,Yes
